date,CBOE_Total_PCR,CBOE_Index_PCR,CBOE_ETP_PCR,CBOE_Equity_PCR,CBOE_VIX_PCR,CBOE_SPX_PCR
2024-06-25,0.9,1.14,1.11,0.59,0.23,1.33
2024-06-26,0.75,0.95,0.91,0.54,0.2,1.28
2024-06-27,0.85,0.89,0.94,0.76,0.14,1.23
2024-06-28,0.89,1.03,1.02,0.64,0.3,1.2
2024-07-01,0.93,1.19,1.15,0.56,0.43,1.47
2024-07-02,0.94,1.1,1.07,0.7,0.49,1.32
2024-07-03,0.84,1.11,0.96,0.51,0.47,1.4
2024-07-05,0.89,1.3,0.87,0.56,0.58,1.43
2024-07-08,0.79,0.93,1.1,0.51,0.25,1.35
2024-07-09,0.9,1.26,0.95,0.57,0.49,1.48
2024-07-10,0.85,1.11,0.84,0.55,0.69,1.23
2024-07-11,0.8,0.95,0.82,0.61,0.39,1.18
2024-07-12,0.82,1.05,0.84,0.57,0.46,1.26
2024-07-15,0.84,0.96,1.15,0.52,0.35,1.27
2024-07-16,0.79,0.96,0.87,0.49,0.44,1.4
2024-07-17,0.8,1.02,0.9,0.53,0.49,1.34
2024-07-18,0.87,1.18,0.74,0.6,0.62,1.35
2024-07-19,0.8,1.01,0.79,0.6,0.33,1.32
2024-07-22,0.87,1.14,0.9,0.55,0.41,1.31
2024-07-23,0.96,1.2,0.97,0.63,0.88,1.31
2024-07-24,1.02,1.23,1.01,0.7,0.89,1.38
2024-07-25,0.98,1.16,0.92,0.8,0.66,1.34
2024-07-26,1.04,1.31,1.06,0.73,0.63,1.43
2024-07-29,0.92,0.99,1.16,0.65,0.28,1.37
2024-07-30,1.04,1.4,0.96,0.68,1.78,1.38
2024-07-31,0.97,1.22,1.21,0.59,0.47,1.53
2024-08-01,0.92,1.08,1.05,0.64,0.6,1.33
2024-08-02,1.16,1.3,1.39,0.81,0.76,1.96
2024-08-05,1.28,1.55,1.32,0.77,0.42,2.71
2024-08-06,1.11,1.31,1.11,0.72,0.89,1.54
2024-08-07,1.06,1.17,1.33,0.69,0.71,1.52
2024-08-08,1.19,1.34,1.25,0.97,1.13,1.4
2024-08-09,0.93,1.21,1.03,0.6,0.86,1.38
2024-08-12,1.02,1.16,1.2,0.68,0.67,1.53
2024-08-13,0.98,1.03,1.36,0.67,0.71,1.2
2024-08-14,0.9,1.02,1.01,0.67,0.66,1.19
2024-08-15,0.92,1.04,1.19,0.58,0.71,1.18
2024-08-16,0.88,1.06,1.31,0.51,0.54,1.41
2024-08-19,0.72,0.88,0.83,0.47,0.4,1.14
2024-08-20,0.84,0.95,0.95,0.59,0.51,1.26
2024-08-21,0.86,1.03,0.87,0.59,0.5,1.29
2024-08-22,0.92,1.08,0.88,0.74,0.63,1.16
2024-08-23,1.07,1.29,1.46,0.55,1.3,1.29
2024-08-26,0.91,1.03,1.17,0.57,0.37,1.18
2024-08-27,1.0,1.19,1.06,0.7,0.57,1.4
2024-08-28,0.9,1.08,0.93,0.64,0.53,1.26
2024-08-29,0.93,1.19,1.0,0.62,0.53,1.37
2024-08-30,0.73,0.76,0.89,0.6,0.15,1.25
2024-09-03,0.81,0.85,0.78,0.73,0.42,1.31
2024-09-04,0.99,1.03,1.22,0.73,0.53,1.38
2024-09-05,0.86,0.71,1.32,0.98,0.17,1.32
2024-09-06,1.12,1.36,1.15,0.75,1.04,1.43
2024-09-09,1.09,1.33,1.35,0.64,0.96,1.43
2024-09-10,0.94,1.07,1.03,0.69,0.45,1.32
2024-09-11,0.86,0.93,0.99,0.6,0.43,1.12
2024-09-12,0.94,1.05,1.4,0.57,0.66,1.22
2024-09-13,0.92,1.21,1.1,0.54,0.75,1.39
2024-09-16,0.82,1.02,0.92,0.52,0.38,1.32
2024-09-17,0.8,1.02,0.82,0.51,0.44,1.3
2024-09-18,0.96,1.21,1.07,0.61,0.41,1.57
2024-09-19,0.95,1.12,0.96,0.77,0.32,1.37
2024-09-20,0.85,1.28,0.86,0.52,0.86,1.38
2024-09-23,0.83,1.15,0.9,0.49,0.58,1.43
2024-09-24,0.9,1.31,0.86,0.54,0.98,1.39
2024-09-25,0.76,0.92,0.86,0.52,0.22,1.37
2024-09-26,0.79,1.16,0.71,0.5,1.05,1.18
2024-09-27,0.76,0.92,0.89,0.53,0.24,1.43
2024-09-30,0.92,1.2,0.98,0.55,0.45,1.35
2024-10-01,0.88,1.03,1.0,0.55,0.42,1.4
2024-10-02,1.02,1.41,1.07,0.56,0.89,1.55
2024-10-03,0.88,0.93,1.02,0.71,0.26,1.52
2024-10-04,1.02,1.27,1.55,0.48,0.34,1.5
2024-10-07,0.79,0.87,0.96,0.55,0.26,1.39
2024-10-08,0.92,1.2,1.08,0.54,0.54,1.44
2024-10-09,0.97,1.08,1.36,0.59,0.5,1.3
2024-10-10,0.87,1.13,0.97,0.49,0.74,1.32
2024-10-11,0.88,1.15,1.37,0.44,0.36,1.46
2024-10-14,0.82,1.11,0.89,0.5,0.49,1.31
