date,CBOE_Total_Call_Volume,CBOE_Total_Put_Volume,CBOE_Total_Total_Volume,CBOE_Total_PCR_Calculated,CBOE_Total_PCR_Diff,CBOE_Index_Call_Volume,CBOE_Index_Put_Volume,CBOE_Index_Total_Volume,CBOE_Index_PCR_Calculated,CBOE_Index_PCR_Diff,CBOE_ETP_Call_Volume,CBOE_ETP_Put_Volume,CBOE_ETP_Total_Volume,CBOE_ETP_PCR_Calculated,CBOE_ETP_PCR_Diff,CBOE_Equity_Call_Volume,CBOE_Equity_Put_Volume,CBOE_Equity_Total_Volume,CBOE_Equity_PCR_Calculated,CBOE_Equity_PCR_Diff,CBOE_VIX_Call_Volume,CBOE_VIX_Put_Volume,CBOE_VIX_Total_Volume,CBOE_VIX_PCR_Calculated,CBOE_VIX_PCR_Diff,CBOE_SPX_Call_Volume,CBOE_SPX_Put_Volume,CBOE_SPX_Total_Volume,CBOE_SPX_PCR_Calculated,CBOE_SPX_PCR_Diff
2025-05-01,5045527.0,4172045.0,9217572.0,0.83,0.0,1960788.0,2129661.0,4090449.0,1.09,0.0,1137631.0,1027261.0,2164892.0,0.9,0.0,1947108.0,1015123.0,2962231.0,0.52,0.0,376046.0,194408.0,570454.0,0.52,0.0,1505406.0,1796338.0,3301744.0,1.19,0.0
2025-05-02,5401489.0,4546116.0,9947605.0,0.84,0.0,2002930.0,2394338.0,4397268.0,1.2,0.0,1007402.0,979286.0,1986688.0,0.97,0.0,2391157.0,1172492.0,3563649.0,0.49,0.0,305755.0,238433.0,544188.0,0.78,0.0,1602480.0,2049341.0,3651821.0,1.28,0.0
2025-05-05,3971986.0,3661103.0,7633089.0,0.92,0.0,1639447.0,1923926.0,3563373.0,1.17,0.0,857298.0,852002.0,1709300.0,0.99,0.0,1475241.0,885175.0,2360416.0,0.6,0.0,271516.0,141624.0,413140.0,0.52,0.0,1291847.0,1664042.0,2955889.0,1.29,0.0
2025-05-06,4122560.0,3737717.0,7860277.0,0.91,0.0,1772796.0,2004800.0,3777596.0,1.13,0.0,936144.0,829881.0,1766025.0,0.89,0.0,1413620.0,903036.0,2316656.0,0.64,0.0,211164.0,105678.0,316842.0,0.5,0.0,1482789.0,1829359.0,3312148.0,1.23,0.0
2025-05-07,4334017.0,3455200.0,7789217.0,0.8,0.0,1671571.0,1821879.0,3493450.0,1.09,0.0,935065.0,699037.0,1634102.0,0.75,0.0,1727381.0,934284.0,2661665.0,0.54,0.0,413423.0,217412.0,630835.0,0.53,0.0,1183204.0,1518319.0,2701523.0,1.28,0.0
2025-05-08,6457499.0,5203930.0,11661429.0,0.81,0.0,2596695.0,2185734.0,4782429.0,0.84,0.0,1335229.0,1645750.0,2980979.0,1.23,0.0,2525575.0,1372446.0,3898021.0,0.54,0.0,832074.0,179347.0,1011421.0,0.22,0.0,1657241.0,1887458.0,3544699.0,1.14,0.0
2025-05-09,5373003.0,4142659.0,9515662.0,0.77,0.0,1940067.0,2002297.0,3942364.0,1.03,0.0,908258.0,795449.0,1703707.0,0.88,0.0,2524678.0,1344913.0,3869591.0,0.53,0.0,450693.0,157637.0,608330.0,0.35,0.0,1410322.0,1747776.0,3158098.0,1.24,0.0
2025-05-12,6712154.0,5698209.0,12410363.0,0.85,0.0,2724297.0,3183393.0,5907690.0,1.17,0.0,1177703.0,1116427.0,2294130.0,0.95,0.0,2810154.0,1398389.0,4208543.0,0.5,0.0,908614.0,837411.0,1746025.0,0.92,0.0,1720324.0,2228052.0,3948376.0,1.3,0.0
2025-05-13,7237694.0,5744088.0,12981782.0,0.79,0.0,2630528.0,2754638.0,5385166.0,1.05,0.0,1147489.0,1071582.0,2219071.0,0.93,0.0,3459677.0,1917868.0,5377545.0,0.55,0.0,716121.0,503712.0,1219833.0,0.7,0.0,1843960.0,2091552.0,3935512.0,1.13,0.0
2025-05-14,5663889.0,3940900.0,9604789.0,0.7,0.0,2313514.0,2086501.0,4400015.0,0.9,0.0,870317.0,831673.0,1701990.0,0.96,0.0,2480058.0,1022726.0,3502784.0,0.41,0.0,590863.0,234258.0,825121.0,0.4,0.0,1631904.0,1769782.0,3401686.0,1.08,0.0
2025-05-15,6426249.0,4394479.0,10820728.0,0.68,0.0,2673985.0,2193072.0,4867057.0,0.82,0.0,1402996.0,985554.0,2388550.0,0.7,0.0,2349268.0,1215853.0,3565121.0,0.52,0.0,800579.0,202228.0,1002807.0,0.25,0.0,1785294.0,1916372.0,3701666.0,1.07,0.0
2025-05-16,6203106.0,4295447.0,10498553.0,0.69,0.0,2176910.0,2098891.0,4275801.0,0.96,0.0,1035520.0,914132.0,1949652.0,0.88,0.0,2990676.0,1282424.0,4273100.0,0.43,0.0,420796.0,119805.0,540601.0,0.28,0.0,1664405.0,1864105.0,3528510.0,1.12,0.0
2025-05-19,4702712.0,4099238.0,8801950.0,0.87,0.0,2007291.0,2335581.0,4342872.0,1.16,0.0,860047.0,878914.0,1738961.0,1.02,0.0,1835374.0,884743.0,2720117.0,0.48,0.0,222778.0,119791.0,342569.0,0.54,0.0,1716808.0,2077675.0,3794483.0,1.21,0.0
2025-05-20,4899549.0,3822750.0,8722299.0,0.78,0.0,2163810.0,1992784.0,4156594.0,0.92,0.0,915596.0,806277.0,1721873.0,0.88,0.0,1820143.0,1023689.0,2843832.0,0.56,0.0,591565.0,163090.0,754655.0,0.28,0.0,1509366.0,1736622.0,3245988.0,1.15,0.0
2025-05-21,6087893.0,5428850.0,11516743.0,0.89,0.0,2452351.0,2700118.0,5152469.0,1.1,0.0,1444602.0,1523957.0,2968559.0,1.05,0.0,2190940.0,1204775.0,3395715.0,0.55,0.0,459635.0,225743.0,685378.0,0.49,0.0,1898230.0,2377139.0,4275369.0,1.25,0.0
2025-05-22,5156456.0,4842173.0,9998629.0,0.94,0.0,1976579.0,2088786.0,4065365.0,1.06,0.0,1114358.0,1210194.0,2324552.0,1.09,0.0,2065519.0,1543193.0,3608712.0,0.75,0.0,415417.0,240295.0,655712.0,0.58,0.0,1458738.0,1726877.0,3185615.0,1.18,0.0
2025-05-23,5150805.0,4891030.0,10041835.0,0.95,0.0,1830642.0,2279460.0,4110102.0,1.25,0.0,1141312.0,1304488.0,2445800.0,1.14,0.0,2178851.0,1307082.0,3485933.0,0.6,0.0,340169.0,221927.0,562096.0,0.65,0.0,1408952.0,1944577.0,3353529.0,1.38,0.0
2025-05-27,4824064.0,4256771.0,9080835.0,0.88,0.0,1917159.0,2222894.0,4140053.0,1.16,0.0,959307.0,1016361.0,1975668.0,1.06,0.0,1947598.0,1017516.0,2965114.0,0.52,0.0,460839.0,178100.0,638939.0,0.39,0.0,1393632.0,1966252.0,3359884.0,1.41,0.0
2025-05-28,4956553.0,4020230.0,8976783.0,0.81,0.0,1799657.0,1847319.0,3646976.0,1.03,0.0,1061067.0,958934.0,2020001.0,0.9,0.0,2095829.0,1213977.0,3309806.0,0.58,0.0,322771.0,126499.0,449270.0,0.39,0.0,1387914.0,1596039.0,2983953.0,1.15,0.0
2025-05-29,5318110.0,4075752.0,9393862.0,0.77,0.0,1999535.0,1819341.0,3818876.0,0.91,0.0,1141827.0,1109079.0,2250906.0,0.97,0.0,2176748.0,1147332.0,3324080.0,0.53,0.0,472615.0,70037.0,542652.0,0.15,0.0,1456313.0,1681896.0,3138209.0,1.15,0.0
2025-05-30,5841730.0,5114546.0,10956276.0,0.88,0.0,2094969.0,2239544.0,4334513.0,1.07,0.0,1369103.0,1526218.0,2895321.0,1.11,0.0,2377658.0,1348784.0,3726442.0,0.57,0.0,294091.0,115596.0,409687.0,0.39,0.0,1715629.0,2038140.0,3753769.0,1.19,0.0
